time_s,dP_Pa,O2_pct,exhale_state
152.177,0.0,18.01,1
152.277,0.0,18.01,0
152.377,0.0,18.01,0
152.477,0.0,18.01,0
152.577,0.0,18.01,0
152.677,0.0,18.05,0
152.777,0.0,18.05,0
152.877,0.0,18.05,0
152.977,0.0,18.05,0
153.077,0.223,18.05,0
153.177,3.648,18.05,0
153.277,3.556,18.01,0
153.377,4.402,18.01,1
153.477,2.985,18.01,1
153.577,3.385,18.01,1
153.677,2.456,18.01,1
153.777,2.939,18.01,1
153.877,1.514,18.01,1
153.977,1.831,18.01,1
154.077,0.264,18.01,1
154.177,0.0,18.01,1
154.277,0.0,18.01,1
154.377,0.0,18.01,0
154.477,0.0,18.05,0
154.577,0.0,18.05,0
154.677,0.0,18.05,0
154.777,0.0,18.05,0
154.877,0.0,18.05,0
154.977,0.0,18.05,0
155.077,0.0,18.05,0
155.177,2.456,18.05,0
155.277,4.714,18.05,0
155.377,4.356,18.05,1
155.477,5.214,18.05,1
155.577,3.602,18.05,1
155.677,3.385,18.01,1
155.777,1.152,18.01,1
155.877,0.0,18.01,1
155.977,0.0,18.01,1
156.077,0.0,18.01,0
156.177,0.0,18.01,0
156.277,0.0,18.08,0
156.377,0.0,18.08,0
156.477,0.0,18.08,0
156.577,0.0,18.08,0
156.677,0.0,18.08,0
156.777,0.0,18.08,0
156.877,0.0,18.08,0
156.977,3.339,18.08,0
157.077,3.027,18.08,0
157.177,4.052,18.08,1
157.277,3.385,18.08,1
157.377,4.356,18.08,1
157.477,3.556,18.08,1
157.577,3.119,18.08,1
157.677,2.76,18.08,1
157.777,1.331,18.08,1
157.877,0.0,18.08,1
157.977,0.0,18.08,1
158.077,0.0,18.18,0
158.177,0.0,18.18,0
158.277,0.0,18.18,0
158.377,0.0,18.18,0
158.477,0.0,18.18,0
158.577,0.0,18.18,0
158.677,0.0,18.18,0
158.777,0.0,18.18,0
158.877,0.0,18.18,0
158.977,3.556,18.18,0
159.077,3.473,18.18,0
159.177,3.339,18.18,1
159.277,3.431,18.15,1
159.377,3.256,18.15,1
159.477,2.41,18.15,1
159.577,1.331,18.15,1
159.677,1.331,18.15,1
159.777,0.356,18.15,1
159.877,0.0,18.22,1
159.977,0.0,18.22,1
160.077,0.0,18.22,0
160.177,0.0,18.22,0
160.277,0.0,18.22,0
160.377,0.0,18.22,0
160.477,0.0,18.22,0
160.577,0.0,18.22,0
160.677,0.0,18.22,0
160.777,0.0,18.22,0
160.877,2.498,18.22,0
160.977,3.519,18.22,0
161.077,3.96,18.22,1
161.177,3.648,18.22,1
161.277,2.898,18.22,1
161.377,3.556,18.22,1
161.477,2.052,18.22,1
161.577,2.898,18.22,1
161.677,1.331,18.25,1
161.777,2.01,18.25,1
161.877,0.044,18.25,1
161.977,0.0,18.25,1
162.077,0.0,18.25,0
162.177,0.0,18.25,0
162.277,0.0,18.32,0
162.377,0.0,18.32,0
162.477,0.0,18.32,0
162.577,0.0,18.32,0
162.677,0.0,18.32,0
162.777,0.0,18.32,0
162.877,0.0,18.28,0
162.977,0.973,18.28,0
163.077,3.827,18.28,0
163.177,3.827,18.28,1
163.277,4.177,18.28,1
163.377,3.739,18.28,1
163.477,3.556,18.23,1
163.577,3.473,18.23,1
163.677,2.364,18.23,1
163.777,2.364,18.23,1
163.877,0.623,18.23,1
163.977,0.044,18.23,1
164.077,0.0,18.28,1
164.177,0.0,18.28,0
164.277,0.0,18.28,0
164.377,0.0,18.28,0
164.477,0.0,18.28,0
164.577,0.0,18.28,0
164.677,0.0,18.32,0
164.777,0.0,18.32,0
164.877,0.0,18.32,0
164.977,2.052,18.32,0
165.077,4.223,18.32,0
165.177,4.489,18.32,1
165.277,4.402,18.25,1
165.377,4.269,18.25,1
165.477,3.827,18.25,1
165.577,3.385,18.25,1
165.677,3.027,18.25,1
165.777,2.189,18.25,1
165.877,0.356,18.32,1
165.977,0.0,18.32,1
166.077,0.0,18.32,1
166.177,0.0,18.32,0
166.277,0.0,18.32,0
166.377,0.0,18.32,0
166.477,0.0,18.32,0
166.577,0.0,18.32,0
166.677,0.0,18.32,0
166.777,0.0,18.32,0
166.877,0.0,18.32,0
166.977,2.456,18.32,0
167.077,3.164,18.28,0
167.177,3.602,18.28,1
167.277,3.694,18.28,1
167.377,3.256,18.28,1
167.477,2.806,18.28,1
167.577,3.027,18.28,1
167.677,2.631,18.28,1
167.777,1.923,18.28,1
167.877,1.377,18.28,1
167.977,0.0,18.28,1
168.077,0.0,18.28,1
168.177,0.0,18.28,0
168.277,0.0,18.35,0
168.377,0.0,18.35,0
168.477,0.0,18.35,0
168.577,0.0,18.35,0
168.677,0.0,18.35,0
168.777,0.0,18.35,0
168.877,0.0,18.35,0
168.977,1.923,18.35,0
169.077,4.277,18.35,0
169.177,4.36,18.35,1
169.277,3.914,18.35,1
169.377,4.269,18.35,1
169.477,3.556,18.32,1
169.577,2.939,18.32,1
169.677,2.323,18.32,1
169.777,2.144,18.32,1
169.877,0.623,18.32,1
169.977,0.0,18.32,1
170.077,0.0,18.39,1
170.177,0.0,18.39,0
170.277,0.0,18.39,0
170.377,0.0,18.39,0
170.477,0.0,18.39,0
170.577,0.0,18.39,0
170.677,0.0,18.39,0
170.777,0.0,18.39,0
170.877,0.0,18.39,0
170.977,0.0,18.39,0
171.077,3.385,18.39,0
171.177,3.473,18.39,0
171.277,3.556,18.35,1
171.377,3.694,18.35,1
171.477,3.339,18.35,1
171.577,3.385,18.35,1
171.677,2.985,18.35,1
171.777,2.498,18.35,1
171.877,1.744,18.39,1
171.977,0.0,18.39,1
172.077,0.0,18.39,1
172.177,0.0,18.39,0
172.277,0.0,18.39,0
172.377,0.0,18.39,0
172.477,0.0,18.45,0
172.577,0.0,18.45,0
172.677,0.0,18.45,0
172.777,0.0,18.45,0
172.877,0.0,18.45,0
172.977,0.0,18.45,0
173.077,2.144,18.42,0
173.177,3.385,18.42,0
173.277,3.656,18.42,1
173.377,3.602,18.42,1
173.477,2.985,18.42,1
173.577,3.294,18.42,1
173.677,2.852,18.39,1
173.777,2.548,18.39,1
173.877,2.277,18.39,1
173.977,1.331,18.39,1
174.077,0.0,18.39,1
174.177,0.0,18.39,1
174.277,0.0,18.45,0
174.377,0.0,18.45,0
174.477,0.0,18.45,0
174.577,0.0,18.45,0
174.677,0.0,18.45,0
174.777,0.0,18.45,0
174.877,0.0,18.45,0
174.977,1.56,18.45,0
175.077,4.102,18.45,0
175.177,4.269,18.45,1
175.277,3.827,18.45,1
175.377,3.827,18.45,1
175.477,3.252,18.45,1
175.577,2.719,18.45,1
175.677,2.369,18.45,1
175.777,2.235,18.45,1
175.877,1.514,18.45,1
175.977,0.844,18.45,1
176.077,0.0,18.49,1
176.177,0.0,18.49,1
176.277,0.0,18.49,0
176.377,0.0,18.49,0
176.477,0.0,18.49,0
176.577,0.0,18.49,0
176.677,0.0,18.49,0
176.777,0.0,18.49,0
176.877,0.0,18.49,0
176.977,0.0,18.49,0
177.077,2.189,18.49,0
177.177,3.339,18.49,0
177.277,3.339,18.45,1
177.377,3.031,18.45,1
177.477,4.144,18.45,1
177.577,3.21,18.45,1
177.677,3.344,18.45,1
177.777,2.098,18.45,1
177.877,2.056,18.45,1
177.977,0.0,18.45,1
178.077,0.0,18.45,1
178.177,0.0,18.45,0
178.277,0.0,18.45,0
178.377,0.0,18.45,0
178.477,0.0,18.49,0
178.577,0.0,18.49,0
178.677,0.0,18.49,0
178.777,0.0,18.49,0
178.877,0.0,18.49,0
178.977,0.623,18.49,0
179.077,3.556,18.49,0
179.177,3.256,18.49,1
179.277,4.319,18.49,1
179.377,3.119,18.49,1
179.477,3.339,18.49,1
179.577,2.985,18.49,1
179.677,2.544,18.49,1
179.777,1.969,18.49,1
179.877,1.244,18.49,1
179.977,0.0,18.49,1
180.077,0.0,18.49,1
180.177,0.0,18.49,0
180.277,0.0,18.56,0
180.377,0.0,18.56,0
180.477,0.0,18.56,0
180.577,0.0,18.56,0
180.677,0.0,18.56,0
180.777,0.0,18.56,0
180.877,0.0,18.52,0
180.977,2.323,18.52,0
181.077,2.719,18.52,0
181.177,2.719,18.52,1
181.277,2.635,18.52,1
181.377,2.456,18.52,1
181.477,2.323,18.52,1
181.577,1.923,18.52,1
181.677,1.656,18.52,1
181.777,1.106,18.52,1
181.877,0.0,18.52,1
181.977,0.0,18.52,1
182.077,0.0,18.55,0
182.177,0.0,18.55,0
182.277,0.0,18.55,0
182.377,0.0,18.55,0
182.477,0.0,18.55,0
182.577,0.0,18.55,0
182.677,0.0,18.59,0
182.777,0.0,18.59,0
182.877,0.0,18.59,0
182.977,2.806,18.59,0
183.077,2.985,18.59,0
183.177,3.164,18.59,1
183.277,2.898,18.56,1
183.377,2.589,18.56,1
183.477,2.719,18.56,1
183.577,2.144,18.56,1
183.677,1.606,18.56,1
183.777,0.531,18.56,1
183.877,0.0,18.63,1
183.977,0.0,18.63,1
184.077,0.0,18.63,0
184.177,0.0,18.63,0
184.277,0.0,18.63,0
184.377,0.0,18.63,0
184.477,0.0,18.66,0
184.577,0.0,18.66,0
184.677,0.0,18.66,0
